id,value,type,description,enabled,implyActions
289,Mua tài sản,19,,1,
290,Mua công cụ dụng cụ,19,,1,
291,Tài sản cố định,19,,1,
292,Thanh toán cho người lao động,19,,1,
293,Tiền lương,19,,1,
294,Tiền thưởng,19,,1,
295,Tiền phụ cấp,19,,1,
296,Chi phí dịch vụ mua ngoài,19,,1,
297,Tiền điện,19,,1,
298,Tiền nước,19,,1,
299,Tiền điện thoại,19,,1,
300,"Tiền thuê văn phòng, cửa hàng, thuê tài sản",19,,1,
301,"Thuê bốc dỡ, vận chuyển",19,,1,
302,Tiền hoa hồng đại lý,19,,1,
303,Tiền thuê sửa chữa TSCĐ,19,,1,
304,Chi phí bằng tiền khác,19,,1,
305,Văn phòng phẩm,19,,1,
306,Công tác phí,19,,1,
307,Đào tạo cán bộ,19,,1,
308,Hội nghị,19,,1,
309,Tiếp khách,19,,1,
310,Tuyển dụng,19,,1,
311,"Chi phí quảng cáo, giới thiệu sản phẩm, hàng hóa",19,,1,
312,Chi phí mua hàng,19,,1,
313,Cước vận chuyển,19,,1,
314,Cước vận chuyển nội địa,19,,1,
315,Cước vận chuyển quốc tế,19,,1,
316,Chi phí nâng hạ,19,,1,
317,Phát sinh,19,,1,
318,Phí hạ,19,,1,
319,Phí nâng,19,,1,
320,Phí lấy lệnh,19,,1,
321,Phí chứng từ,19,,1,
322,Phí D/O,19,,1,
323,Phí xếp dỡ,19,,1,
324,"Phí lưu con, lưu bãi, lưu kho",19,,1,
325,Phí lưu bãi,19,,1,
326,Phí lưu cont,19,,1,
327,Phí lưu kho,19,,1,
328,Phí vệ sinh,19,,1,
329,Phí sữa chữa,19,,1,
330,Phí kiểm dịch,19,,1,
331,Chi phí hải quan,19,,1,
332,Chi phí khác,19,,1,
333,Lệ phí hải quan,19,,1,
334,Phí bốc hàng,19,,1,
335,Phí ký chứng từ,19,,1,
336,Phí làm kiểm dịch,19,,1,
337,Phí thanh lý,19,,1,
338,"Chi phí xe cont, xe tải",19,,1,
339,Chi phí xe cont,19,,1,
340,CP khoán xe cont,19,,1,
341,Dầu DO xe cont,19,,1,
342,Lương tài xế,19,,1,
343,"Nâng hạ, bốc xếp, cầu đường",19,,1,
344,Chi phí xe tải,19,,1,
345,Chi phí khoán xe tải,19,,1,
346,Chi phí dầu DO xe tải,19,,1,
